Cluster,CourseID,Enrollments,CourseName,CourseCategory,CourseType,CourseLevel,CoursePrice,CourseDuration,CourseRating,UserID
1,CR00038,6,Risk Management,Project Management,Paid,Intermediate,342.61,17.14,4.84,U00011
1,CR00017,58,SEO Mastery,Marketing,Free,Advanced,0.0,29.37,4.79,U00011
1,CR00055,64,Full-Stack Web Development,Web Development,Paid,Advanced,57.32,43.95,4.74,U00011
1,CR00001,2,Python Basics,Programming,Paid,Beginner,472.28,11.0,4.74,U00011
1,CR00035,16,Cyber Threat Intelligence,Cybersecurity,Free,Beginner,0.0,42.59,4.94,U00012
1,CR00038,6,Risk Management,Project Management,Paid,Intermediate,342.61,17.14,4.84,U00012
1,CR00017,58,SEO Mastery,Marketing,Free,Advanced,0.0,29.37,4.79,U00012
1,CR00055,64,Full-Stack Web Development,Web Development,Paid,Advanced,57.32,43.95,4.74,U00012
1,CR00001,2,Python Basics,Programming,Paid,Beginner,472.28,11.0,4.74,U00012
3,CR00035,103,Cyber Threat Intelligence,Cybersecurity,Free,Beginner,0.0,42.59,4.94,U00013
3,CR00038,104,Risk Management,Project Management,Paid,Intermediate,342.61,17.14,4.84,U00013
3,CR00017,94,SEO Mastery,Marketing,Free,Advanced,0.0,29.37,4.79,U00013
3,CR00001,109,Python Basics,Programming,Paid,Beginner,472.28,11.0,4.74,U00013
3,CR00016,99,Digital Marketing,Marketing,Free,Intermediate,0.0,42.68,4.72,U00013
1,CR00035,16,Cyber Threat Intelligence,Cybersecurity,Free,Beginner,0.0,42.59,4.94,U00014
1,CR00038,6,Risk Management,Project Management,Paid,Intermediate,342.61,17.14,4.84,U00014
1,CR00017,58,SEO Mastery,Marketing,Free,Advanced,0.0,29.37,4.79,U00014
1,CR00055,64,Full-Stack Web Development,Web Development,Paid,Advanced,57.32,43.95,4.74,U00014
1,CR00001,2,Python Basics,Programming,Paid,Beginner,472.28,11.0,4.74,U00014
3,CR00035,103,Cyber Threat Intelligence,Cybersecurity,Free,Beginner,0.0,42.59,4.94,U00015
3,CR00017,94,SEO Mastery,Marketing,Free,Advanced,0.0,29.37,4.79,U00015
3,CR00055,110,Full-Stack Web Development,Web Development,Paid,Advanced,57.32,43.95,4.74,U00015
3,CR00001,109,Python Basics,Programming,Paid,Beginner,472.28,11.0,4.74,U00015
3,CR00026,100,Intro to Machine Learning,Machine Learning,Free,Intermediate,0.0,47.7,4.73,U00015
1,CR00035,16,Cyber Threat Intelligence,Cybersecurity,Free,Beginner,0.0,42.59,4.94,U00016
1,CR00038,6,Risk Management,Project Management,Paid,Intermediate,342.61,17.14,4.84,U00016
1,CR00055,64,Full-Stack Web Development,Web Development,Paid,Advanced,57.32,43.95,4.74,U00016
1,CR00001,2,Python Basics,Programming,Paid,Beginner,472.28,11.0,4.74,U00016
1,CR00026,14,Intro to Machine Learning,Machine Learning,Free,Intermediate,0.0,47.7,4.73,U00016
2,CR00035,5,Cyber Threat Intelligence,Cybersecurity,Free,Beginner,0.0,42.59,4.94,U00017
2,CR00038,37,Risk Management,Project Management,Paid,Intermediate,342.61,17.14,4.84,U00017
2,CR00017,2,SEO Mastery,Marketing,Free,Advanced,0.0,29.37,4.79,U00017
2,CR00055,2,Full-Stack Web Development,Web Development,Paid,Advanced,57.32,43.95,4.74,U00017
2,CR00026,12,Intro to Machine Learning,Machine Learning,Free,Intermediate,0.0,47.7,4.73,U00017
3,CR00038,104,Risk Management,Project Management,Paid,Intermediate,342.61,17.14,4.84,U00018
3,CR00017,94,SEO Mastery,Marketing,Free,Advanced,0.0,29.37,4.79,U00018
3,CR00055,110,Full-Stack Web Development,Web Development,Paid,Advanced,57.32,43.95,4.74,U00018
3,CR00016,99,Digital Marketing,Marketing,Free,Intermediate,0.0,42.68,4.72,U00018
3,CR00036,113,Agile Project Management,Project Management,Free,Beginner,0.0,15.75,4.68,U00018
0,CR00035,55,Cyber Threat Intelligence,Cybersecurity,Free,Beginner,0.0,42.59,4.94,U00019
0,CR00038,11,Risk Management,Project Management,Paid,Intermediate,342.61,17.14,4.84,U00019
0,CR00017,4,SEO Mastery,Marketing,Free,Advanced,0.0,29.37,4.79,U00019
0,CR00001,5,Python Basics,Programming,Paid,Beginner,472.28,11.0,4.74,U00019
0,CR00055,2,Full-Stack Web Development,Web Development,Paid,Advanced,57.32,43.95,4.74,U00019
0,CR00035,55,Cyber Threat Intelligence,Cybersecurity,Free,Beginner,0.0,42.59,4.94,U00020
0,CR00038,11,Risk Management,Project Management,Paid,Intermediate,342.61,17.14,4.84,U00020
0,CR00017,4,SEO Mastery,Marketing,Free,Advanced,0.0,29.37,4.79,U00020
0,CR00001,5,Python Basics,Programming,Paid,Beginner,472.28,11.0,4.74,U00020
0,CR00055,2,Full-Stack Web Development,Web Development,Paid,Advanced,57.32,43.95,4.74,U00020
1,CR00035,16,Cyber Threat Intelligence,Cybersecurity,Free,Beginner,0.0,42.59,4.94,U00021
1,CR00038,6,Risk Management,Project Management,Paid,Intermediate,342.61,17.14,4.84,U00021
1,CR00017,58,SEO Mastery,Marketing,Free,Advanced,0.0,29.37,4.79,U00021
1,CR00055,64,Full-Stack Web Development,Web Development,Paid,Advanced,57.32,43.95,4.74,U00021
1,CR00001,2,Python Basics,Programming,Paid,Beginner,472.28,11.0,4.74,U00021
0,CR00035,55,Cyber Threat Intelligence,Cybersecurity,Free,Beginner,0.0,42.59,4.94,U00022
0,CR00038,11,Risk Management,Project Management,Paid,Intermediate,342.61,17.14,4.84,U00022
0,CR00017,4,SEO Mastery,Marketing,Free,Advanced,0.0,29.37,4.79,U00022
0,CR00001,5,Python Basics,Programming,Paid,Beginner,472.28,11.0,4.74,U00022
0,CR00055,2,Full-Stack Web Development,Web Development,Paid,Advanced,57.32,43.95,4.74,U00022
0,CR00035,55,Cyber Threat Intelligence,Cybersecurity,Free,Beginner,0.0,42.59,4.94,U00023
0,CR00038,11,Risk Management,Project Management,Paid,Intermediate,342.61,17.14,4.84,U00023
0,CR00017,4,SEO Mastery,Marketing,Free,Advanced,0.0,29.37,4.79,U00023
0,CR00001,5,Python Basics,Programming,Paid,Beginner,472.28,11.0,4.74,U00023
0,CR00055,2,Full-Stack Web Development,Web Development,Paid,Advanced,57.32,43.95,4.74,U00023
0,CR00035,55,Cyber Threat Intelligence,Cybersecurity,Free,Beginner,0.0,42.59,4.94,U00024
0,CR00038,11,Risk Management,Project Management,Paid,Intermediate,342.61,17.14,4.84,U00024
0,CR00017,4,SEO Mastery,Marketing,Free,Advanced,0.0,29.37,4.79,U00024
0,CR00001,5,Python Basics,Programming,Paid,Beginner,472.28,11.0,4.74,U00024
0,CR00055,2,Full-Stack Web Development,Web Development,Paid,Advanced,57.32,43.95,4.74,U00024
1,CR00035,16,Cyber Threat Intelligence,Cybersecurity,Free,Beginner,0.0,42.59,4.94,U00025
1,CR00038,6,Risk Management,Project Management,Paid,Intermediate,342.61,17.14,4.84,U00025
1,CR00017,58,SEO Mastery,Marketing,Free,Advanced,0.0,29.37,4.79,U00025
1,CR00055,64,Full-Stack Web Development,Web Development,Paid,Advanced,57.32,43.95,4.74,U00025
1,CR00001,2,Python Basics,Programming,Paid,Beginner,472.28,11.0,4.74,U00025
2,CR00035,5,Cyber Threat Intelligence,Cybersecurity,Free,Beginner,0.0,42.59,4.94,U00026
2,CR00038,37,Risk Management,Project Management,Paid,Intermediate,342.61,17.14,4.84,U00026
2,CR00017,2,SEO Mastery,Marketing,Free,Advanced,0.0,29.37,4.79,U00026
2,CR00001,48,Python Basics,Programming,Paid,Beginner,472.28,11.0,4.74,U00026
2,CR00055,2,Full-Stack Web Development,Web Development,Paid,Advanced,57.32,43.95,4.74,U00026
1,CR00035,16,Cyber Threat Intelligence,Cybersecurity,Free,Beginner,0.0,42.59,4.94,U00027
1,CR00038,6,Risk Management,Project Management,Paid,Intermediate,342.61,17.14,4.84,U00027
1,CR00017,58,SEO Mastery,Marketing,Free,Advanced,0.0,29.37,4.79,U00027
1,CR00055,64,Full-Stack Web Development,Web Development,Paid,Advanced,57.32,43.95,4.74,U00027
1,CR00001,2,Python Basics,Programming,Paid,Beginner,472.28,11.0,4.74,U00027
3,CR00035,103,Cyber Threat Intelligence,Cybersecurity,Free,Beginner,0.0,42.59,4.94,U00028
3,CR00038,104,Risk Management,Project Management,Paid,Intermediate,342.61,17.14,4.84,U00028
3,CR00017,94,SEO Mastery,Marketing,Free,Advanced,0.0,29.37,4.79,U00028
3,CR00055,110,Full-Stack Web Development,Web Development,Paid,Advanced,57.32,43.95,4.74,U00028
3,CR00026,100,Intro to Machine Learning,Machine Learning,Free,Intermediate,0.0,47.7,4.73,U00028
2,CR00035,5,Cyber Threat Intelligence,Cybersecurity,Free,Beginner,0.0,42.59,4.94,U00029
2,CR00038,37,Risk Management,Project Management,Paid,Intermediate,342.61,17.14,4.84,U00029
2,CR00017,2,SEO Mastery,Marketing,Free,Advanced,0.0,29.37,4.79,U00029
2,CR00001,48,Python Basics,Programming,Paid,Beginner,472.28,11.0,4.74,U00029
2,CR00055,2,Full-Stack Web Development,Web Development,Paid,Advanced,57.32,43.95,4.74,U00029
0,CR00035,55,Cyber Threat Intelligence,Cybersecurity,Free,Beginner,0.0,42.59,4.94,U00030
0,CR00038,11,Risk Management,Project Management,Paid,Intermediate,342.61,17.14,4.84,U00030
0,CR00017,4,SEO Mastery,Marketing,Free,Advanced,0.0,29.37,4.79,U00030
0,CR00001,5,Python Basics,Programming,Paid,Beginner,472.28,11.0,4.74,U00030
0,CR00055,2,Full-Stack Web Development,Web Development,Paid,Advanced,57.32,43.95,4.74,U00030
0,CR00035,55,Cyber Threat Intelligence,Cybersecurity,Free,Beginner,0.0,42.59,4.94,U00031
0,CR00038,11,Risk Management,Project Management,Paid,Intermediate,342.61,17.14,4.84,U00031
0,CR00017,4,SEO Mastery,Marketing,Free,Advanced,0.0,29.37,4.79,U00031
0,CR00001,5,Python Basics,Programming,Paid,Beginner,472.28,11.0,4.74,U00031
0,CR00055,2,Full-Stack Web Development,Web Development,Paid,Advanced,57.32,43.95,4.74,U00031
2,CR00035,5,Cyber Threat Intelligence,Cybersecurity,Free,Beginner,0.0,42.59,4.94,U00032
2,CR00038,37,Risk Management,Project Management,Paid,Intermediate,342.61,17.14,4.84,U00032
2,CR00017,2,SEO Mastery,Marketing,Free,Advanced,0.0,29.37,4.79,U00032
2,CR00001,48,Python Basics,Programming,Paid,Beginner,472.28,11.0,4.74,U00032
2,CR00055,2,Full-Stack Web Development,Web Development,Paid,Advanced,57.32,43.95,4.74,U00032
1,CR00035,16,Cyber Threat Intelligence,Cybersecurity,Free,Beginner,0.0,42.59,4.94,U00033
1,CR00038,6,Risk Management,Project Management,Paid,Intermediate,342.61,17.14,4.84,U00033
1,CR00017,58,SEO Mastery,Marketing,Free,Advanced,0.0,29.37,4.79,U00033
1,CR00055,64,Full-Stack Web Development,Web Development,Paid,Advanced,57.32,43.95,4.74,U00033
1,CR00001,2,Python Basics,Programming,Paid,Beginner,472.28,11.0,4.74,U00033
2,CR00035,5,Cyber Threat Intelligence,Cybersecurity,Free,Beginner,0.0,42.59,4.94,U00034
2,CR00038,37,Risk Management,Project Management,Paid,Intermediate,342.61,17.14,4.84,U00034
2,CR00017,2,SEO Mastery,Marketing,Free,Advanced,0.0,29.37,4.79,U00034
2,CR00001,48,Python Basics,Programming,Paid,Beginner,472.28,11.0,4.74,U00034
2,CR00055,2,Full-Stack Web Development,Web Development,Paid,Advanced,57.32,43.95,4.74,U00034
1,CR00035,16,Cyber Threat Intelligence,Cybersecurity,Free,Beginner,0.0,42.59,4.94,U00035
1,CR00038,6,Risk Management,Project Management,Paid,Intermediate,342.61,17.14,4.84,U00035
1,CR00017,58,SEO Mastery,Marketing,Free,Advanced,0.0,29.37,4.79,U00035
1,CR00055,64,Full-Stack Web Development,Web Development,Paid,Advanced,57.32,43.95,4.74,U00035
1,CR00001,2,Python Basics,Programming,Paid,Beginner,472.28,11.0,4.74,U00035
0,CR00035,55,Cyber Threat Intelligence,Cybersecurity,Free,Beginner,0.0,42.59,4.94,U00036
0,CR00038,11,Risk Management,Project Management,Paid,Intermediate,342.61,17.14,4.84,U00036
0,CR00017,4,SEO Mastery,Marketing,Free,Advanced,0.0,29.37,4.79,U00036
0,CR00001,5,Python Basics,Programming,Paid,Beginner,472.28,11.0,4.74,U00036
0,CR00055,2,Full-Stack Web Development,Web Development,Paid,Advanced,57.32,43.95,4.74,U00036
1,CR00035,16,Cyber Threat Intelligence,Cybersecurity,Free,Beginner,0.0,42.59,4.94,U00037
1,CR00038,6,Risk Management,Project Management,Paid,Intermediate,342.61,17.14,4.84,U00037
1,CR00017,58,SEO Mastery,Marketing,Free,Advanced,0.0,29.37,4.79,U00037
1,CR00055,64,Full-Stack Web Development,Web Development,Paid,Advanced,57.32,43.95,4.74,U00037
1,CR00001,2,Python Basics,Programming,Paid,Beginner,472.28,11.0,4.74,U00037
0,CR00035,55,Cyber Threat Intelligence,Cybersecurity,Free,Beginner,0.0,42.59,4.94,U00038
0,CR00038,11,Risk Management,Project Management,Paid,Intermediate,342.61,17.14,4.84,U00038
0,CR00017,4,SEO Mastery,Marketing,Free,Advanced,0.0,29.37,4.79,U00038
0,CR00001,5,Python Basics,Programming,Paid,Beginner,472.28,11.0,4.74,U00038
0,CR00055,2,Full-Stack Web Development,Web Development,Paid,Advanced,57.32,43.95,4.74,U00038
1,CR00035,16,Cyber Threat Intelligence,Cybersecurity,Free,Beginner,0.0,42.59,4.94,U00039
1,CR00038,6,Risk Management,Project Management,Paid,Intermediate,342.61,17.14,4.84,U00039
1,CR00017,58,SEO Mastery,Marketing,Free,Advanced,0.0,29.37,4.79,U00039
1,CR00055,64,Full-Stack Web Development,Web Development,Paid,Advanced,57.32,43.95,4.74,U00039
1,CR00001,2,Python Basics,Programming,Paid,Beginner,472.28,11.0,4.74,U00039
0,CR00035,55,Cyber Threat Intelligence,Cybersecurity,Free,Beginner,0.0,42.59,4.94,U00040
0,CR00038,11,Risk Management,Project Management,Paid,Intermediate,342.61,17.14,4.84,U00040
0,CR00017,4,SEO Mastery,Marketing,Free,Advanced,0.0,29.37,4.79,U00040
0,CR00001,5,Python Basics,Programming,Paid,Beginner,472.28,11.0,4.74,U00040
0,CR00055,2,Full-Stack Web Development,Web Development,Paid,Advanced,57.32,43.95,4.74,U00040
2,CR00035,5,Cyber Threat Intelligence,Cybersecurity,Free,Beginner,0.0,42.59,4.94,U00041
2,CR00038,37,Risk Management,Project Management,Paid,Intermediate,342.61,17.14,4.84,U00041
2,CR00017,2,SEO Mastery,Marketing,Free,Advanced,0.0,29.37,4.79,U00041
2,CR00001,48,Python Basics,Programming,Paid,Beginner,472.28,11.0,4.74,U00041
2,CR00055,2,Full-Stack Web Development,Web Development,Paid,Advanced,57.32,43.95,4.74,U00041
0,CR00035,55,Cyber Threat Intelligence,Cybersecurity,Free,Beginner,0.0,42.59,4.94,U00042
0,CR00038,11,Risk Management,Project Management,Paid,Intermediate,342.61,17.14,4.84,U00042
0,CR00017,4,SEO Mastery,Marketing,Free,Advanced,0.0,29.37,4.79,U00042
0,CR00001,5,Python Basics,Programming,Paid,Beginner,472.28,11.0,4.74,U00042
0,CR00055,2,Full-Stack Web Development,Web Development,Paid,Advanced,57.32,43.95,4.74,U00042
2,CR00035,5,Cyber Threat Intelligence,Cybersecurity,Free,Beginner,0.0,42.59,4.94,U00043
2,CR00038,37,Risk Management,Project Management,Paid,Intermediate,342.61,17.14,4.84,U00043
2,CR00017,2,SEO Mastery,Marketing,Free,Advanced,0.0,29.37,4.79,U00043
2,CR00001,48,Python Basics,Programming,Paid,Beginner,472.28,11.0,4.74,U00043
2,CR00055,2,Full-Stack Web Development,Web Development,Paid,Advanced,57.32,43.95,4.74,U00043
2,CR00035,5,Cyber Threat Intelligence,Cybersecurity,Free,Beginner,0.0,42.59,4.94,U00044
2,CR00038,37,Risk Management,Project Management,Paid,Intermediate,342.61,17.14,4.84,U00044
2,CR00017,2,SEO Mastery,Marketing,Free,Advanced,0.0,29.37,4.79,U00044
2,CR00001,48,Python Basics,Programming,Paid,Beginner,472.28,11.0,4.74,U00044
2,CR00055,2,Full-Stack Web Development,Web Development,Paid,Advanced,57.32,43.95,4.74,U00044
3,CR00017,94,SEO Mastery,Marketing,Free,Advanced,0.0,29.37,4.79,U00045
3,CR00055,110,Full-Stack Web Development,Web Development,Paid,Advanced,57.32,43.95,4.74,U00045
3,CR00001,109,Python Basics,Programming,Paid,Beginner,472.28,11.0,4.74,U00045
3,CR00026,100,Intro to Machine Learning,Machine Learning,Free,Intermediate,0.0,47.7,4.73,U00045
3,CR00016,99,Digital Marketing,Marketing,Free,Intermediate,0.0,42.68,4.72,U00045
1,CR00035,16,Cyber Threat Intelligence,Cybersecurity,Free,Beginner,0.0,42.59,4.94,U00046
1,CR00038,6,Risk Management,Project Management,Paid,Intermediate,342.61,17.14,4.84,U00046
1,CR00017,58,SEO Mastery,Marketing,Free,Advanced,0.0,29.37,4.79,U00046
1,CR00055,64,Full-Stack Web Development,Web Development,Paid,Advanced,57.32,43.95,4.74,U00046
1,CR00001,2,Python Basics,Programming,Paid,Beginner,472.28,11.0,4.74,U00046
0,CR00035,55,Cyber Threat Intelligence,Cybersecurity,Free,Beginner,0.0,42.59,4.94,U00047
0,CR00038,11,Risk Management,Project Management,Paid,Intermediate,342.61,17.14,4.84,U00047
0,CR00017,4,SEO Mastery,Marketing,Free,Advanced,0.0,29.37,4.79,U00047
0,CR00001,5,Python Basics,Programming,Paid,Beginner,472.28,11.0,4.74,U00047
0,CR00055,2,Full-Stack Web Development,Web Development,Paid,Advanced,57.32,43.95,4.74,U00047
3,CR00035,103,Cyber Threat Intelligence,Cybersecurity,Free,Beginner,0.0,42.59,4.94,U00048
3,CR00038,104,Risk Management,Project Management,Paid,Intermediate,342.61,17.14,4.84,U00048
3,CR00017,94,SEO Mastery,Marketing,Free,Advanced,0.0,29.37,4.79,U00048
3,CR00001,109,Python Basics,Programming,Paid,Beginner,472.28,11.0,4.74,U00048
3,CR00026,100,Intro to Machine Learning,Machine Learning,Free,Intermediate,0.0,47.7,4.73,U00048
0,CR00035,55,Cyber Threat Intelligence,Cybersecurity,Free,Beginner,0.0,42.59,4.94,U00049
0,CR00038,11,Risk Management,Project Management,Paid,Intermediate,342.61,17.14,4.84,U00049
0,CR00017,4,SEO Mastery,Marketing,Free,Advanced,0.0,29.37,4.79,U00049
0,CR00001,5,Python Basics,Programming,Paid,Beginner,472.28,11.0,4.74,U00049
0,CR00055,2,Full-Stack Web Development,Web Development,Paid,Advanced,57.32,43.95,4.74,U00049
1,CR00035,16,Cyber Threat Intelligence,Cybersecurity,Free,Beginner,0.0,42.59,4.94,U00050
1,CR00038,6,Risk Management,Project Management,Paid,Intermediate,342.61,17.14,4.84,U00050
1,CR00017,58,SEO Mastery,Marketing,Free,Advanced,0.0,29.37,4.79,U00050
1,CR00055,64,Full-Stack Web Development,Web Development,Paid,Advanced,57.32,43.95,4.74,U00050
1,CR00001,2,Python Basics,Programming,Paid,Beginner,472.28,11.0,4.74,U00050
0,CR00035,55,Cyber Threat Intelligence,Cybersecurity,Free,Beginner,0.0,42.59,4.94,U00051
0,CR00038,11,Risk Management,Project Management,Paid,Intermediate,342.61,17.14,4.84,U00051
0,CR00017,4,SEO Mastery,Marketing,Free,Advanced,0.0,29.37,4.79,U00051
0,CR00001,5,Python Basics,Programming,Paid,Beginner,472.28,11.0,4.74,U00051
0,CR00055,2,Full-Stack Web Development,Web Development,Paid,Advanced,57.32,43.95,4.74,U00051
1,CR00035,16,Cyber Threat Intelligence,Cybersecurity,Free,Beginner,0.0,42.59,4.94,U00052
1,CR00038,6,Risk Management,Project Management,Paid,Intermediate,342.61,17.14,4.84,U00052
1,CR00017,58,SEO Mastery,Marketing,Free,Advanced,0.0,29.37,4.79,U00052
1,CR00055,64,Full-Stack Web Development,Web Development,Paid,Advanced,57.32,43.95,4.74,U00052
1,CR00001,2,Python Basics,Programming,Paid,Beginner,472.28,11.0,4.74,U00052
0,CR00035,55,Cyber Threat Intelligence,Cybersecurity,Free,Beginner,0.0,42.59,4.94,U00053
0,CR00038,11,Risk Management,Project Management,Paid,Intermediate,342.61,17.14,4.84,U00053
0,CR00017,4,SEO Mastery,Marketing,Free,Advanced,0.0,29.37,4.79,U00053
0,CR00001,5,Python Basics,Programming,Paid,Beginner,472.28,11.0,4.74,U00053
0,CR00055,2,Full-Stack Web Development,Web Development,Paid,Advanced,57.32,43.95,4.74,U00053
2,CR00035,5,Cyber Threat Intelligence,Cybersecurity,Free,Beginner,0.0,42.59,4.94,U00054
2,CR00038,37,Risk Management,Project Management,Paid,Intermediate,342.61,17.14,4.84,U00054
2,CR00017,2,SEO Mastery,Marketing,Free,Advanced,0.0,29.37,4.79,U00054
2,CR00001,48,Python Basics,Programming,Paid,Beginner,472.28,11.0,4.74,U00054
2,CR00055,2,Full-Stack Web Development,Web Development,Paid,Advanced,57.32,43.95,4.74,U00054
3,CR00035,103,Cyber Threat Intelligence,Cybersecurity,Free,Beginner,0.0,42.59,4.94,U00055
3,CR00038,104,Risk Management,Project Management,Paid,Intermediate,342.61,17.14,4.84,U00055
3,CR00017,94,SEO Mastery,Marketing,Free,Advanced,0.0,29.37,4.79,U00055
3,CR00055,110,Full-Stack Web Development,Web Development,Paid,Advanced,57.32,43.95,4.74,U00055
3,CR00001,109,Python Basics,Programming,Paid,Beginner,472.28,11.0,4.74,U00055
1,CR00035,16,Cyber Threat Intelligence,Cybersecurity,Free,Beginner,0.0,42.59,4.94,U00056
1,CR00038,6,Risk Management,Project Management,Paid,Intermediate,342.61,17.14,4.84,U00056
1,CR00017,58,SEO Mastery,Marketing,Free,Advanced,0.0,29.37,4.79,U00056
1,CR00055,64,Full-Stack Web Development,Web Development,Paid,Advanced,57.32,43.95,4.74,U00056
1,CR00001,2,Python Basics,Programming,Paid,Beginner,472.28,11.0,4.74,U00056
2,CR00035,5,Cyber Threat Intelligence,Cybersecurity,Free,Beginner,0.0,42.59,4.94,U00057
2,CR00038,37,Risk Management,Project Management,Paid,Intermediate,342.61,17.14,4.84,U00057
2,CR00017,2,SEO Mastery,Marketing,Free,Advanced,0.0,29.37,4.79,U00057
2,CR00001,48,Python Basics,Programming,Paid,Beginner,472.28,11.0,4.74,U00057
2,CR00055,2,Full-Stack Web Development,Web Development,Paid,Advanced,57.32,43.95,4.74,U00057
1,CR00035,16,Cyber Threat Intelligence,Cybersecurity,Free,Beginner,0.0,42.59,4.94,U00058
1,CR00038,6,Risk Management,Project Management,Paid,Intermediate,342.61,17.14,4.84,U00058
1,CR00017,58,SEO Mastery,Marketing,Free,Advanced,0.0,29.37,4.79,U00058
